iter	Passed	Remaining
602	1633	1075
603	1635	1072
604	1639	1070
605	1641	1067
606	1643	1064
607	1646	1061
608	1648	1058
609	1650	1055
610	1654	1053
611	1656	1050
612	1658	1047
613	1660	1044
614	1662	1040
615	1664	1037
616	1668	1035
617	1670	1032
618	1672	1029
619	1675	1026
620	1677	1023
621	1679	1020
622	1682	1018
623	1684	1015
624	1687	1012
625	1689	1009
626	1691	1006
627	1693	1003
628	1696	1000
629	1698	997
630	1701	994
631	1703	991
632	1705	988
633	1707	985
634	1708	982
635	1712	980
636	1714	977
637	1716	974
638	1718	970
639	1720	967
640	1722	964
641	1724	961
642	1727	959
643	1729	956
644	1731	953
645	1733	950
646	1735	947
647	1737	943
648	1741	941
649	1743	938
650	1745	935
651	1747	932
652	1749	929
653	1751	926
654	1753	923
655	1756	921
656	1758	918
657	1760	915
658	1762	912
659	1764	909
660	1766	905
661	1768	902
662	1771	900
663	1773	897
664	1775	894
665	1777	891
666	1779	888
667	1781	885
668	1783	882
669	1785	879
670	1787	876
671	1789	873
672	1791	870
673	1793	867
674	1795	864
675	1799	862
676	1801	859
677	1803	856
678	1805	853
679	1807	850
680	1808	847
681	1810	844
682	1814	842
683	1816	839
684	1818	836
685	1820	833
686	1823	830
687	1824	827
688	1828	825
689	1830	822
690	1832	819
691	1834	816
692	1836	813
693	1838	810
694	1840	807
695	1843	805
696	1845	802
697	1847	799
698	1850	796
699	1852	793
700	1853	790
701	1855	787
702	1858	785
703	1860	782
704	1862	779
705	1864	776
706	1866	773
707	1868	770
708	1870	767
709	1873	765
710	1875	762
711	1878	759
712	1881	757
713	1883	754
714	1885	751
715	1888	749
716	1891	746
717	1893	743
718	1895	740
719	1896	737
720	1898	734
721	1901	732
722	1904	729
723	1906	726
724	1908	723
725	1910	721
726	1912	718
727	1914	715
728	1917	712
729	1919	710
730	1921	707
731	1923	704
732	1925	701
733	1927	698
734	1929	695
735	1932	693
736	1934	690
737	1936	687
738	1939	684
739	1941	682
740	1942	679
741	1945	676
742	1948	673
743	1949	670
744	1952	668
745	1954	665
746	1956	662
747	1958	659
748	1961	657
749	1963	654
750	1966	651
751	1968	649
752	1970	646
753	1971	643
754	1973	640
755	1977	638
756	1979	635
757	1981	632
758	1983	629
759	1985	626
760	1987	624
761	1990	621
762	1992	618
763	1994	616
764	1996	613
765	1998	610
766	2000	607
767	2002	604
768	2004	602
769	2007	599
770	2009	596
771	2011	594
772	2014	591
773	2016	588
774	2018	585
775	2021	583
776	2022	580
777	2024	577
778	2026	574
779	2028	572
780	2030	569
781	2032	566
782	2035	564
783	2037	561
784	2039	558
785	2042	556
786	2045	553
787	2047	550
788	2050	548
789	2052	545
790	2054	542
791	2056	540
792	2058	537
793	2060	534
794	2062	531
795	2066	529
796	2068	526
797	2070	524
798	2072	521
799	2074	518
800	2075	515
801	2078	513
802	2080	510
803	2083	507
804	2085	505
805	2087	502
806	2089	499
807	2091	496
808	2094	494
809	2096	491
810	2098	489
811	2100	486
812	2103	483
813	2104	480
814	2106	478
815	2110	475
816	2112	473
817	2114	470
818	2116	467
819	2118	464
820	2120	462
821	2122	459
822	2125	457
823	2127	454
824	2129	451
825	2131	449
826	2133	446
827	2135	443
828	2137	440
829	2140	438
830	2142	435
831	2144	433
832	2146	430
833	2148	427
834	2150	424
835	2152	422
836	2155	419
837	2157	417
838	2159	414
839	2161	411
840	2163	409
841	2165	406
842	2169	404
843	2172	401
844	2173	398
845	2175	396
846	2177	393
847	2179	390
848	2181	388
849	2184	385
850	2186	382
851	2188	380
852	2190	377
853	2191	374
854	2193	372
855	2197	369
856	2199	367
857	2201	364
858	2203	361
859	2205	359
860	2207	356
861	2209	353
862	2213	351
863	2215	348
864	2216	346
865	2218	343
866	2220	340
867	2222	338
868	2224	335
869	2227	332
870	2229	330
871	2231	327
872	2233	324
873	2235	322
874	2237	319
875	2239	317
876	2242	314
877	2244	311
878	2247	309
879	2249	306
880	2251	304
881	2253	301
882	2256	298
883	2258	296
884	2260	293
885	2262	291
886	2264	288
887	2266	285
888	2268	283
889	2271	280
890	2274	278
891	2276	275
892	2278	272
893	2280	270
894	2283	267
895	2286	265
896	2288	262
897	2290	260
898	2292	257
899	2294	254
900	2296	252
901	2299	249
902	2301	247
903	2303	244
904	2305	241
905	2307	239
906	2309	236
907	2312	234
908	2314	231
909	2316	229
910	2318	226
911	2320	223
912	2322	221
913	2324	218
914	2327	216
915	2329	213
916	2331	211
917	2333	208
918	2335	205
919	2337	203
920	2339	200
921	2342	198
922	2344	195
923	2346	193
924	2348	190
925	2350	187
926	2352	185
927	2354	182
928	2357	180
929	2360	177
930	2361	175
931	2363	172
932	2365	169
933	2367	167
934	2369	164
935	2373	162
936	2375	159
937	2378	157
938	2379	154
939	2381	152
940	2383	149
941	2387	146
942	2389	144
943	2391	141
944	2393	139
945	2395	136
946	2397	134
947	2399	131
948	2402	129
949	2404	126
950	2406	123
951	2408	121
952	2410	118
953	2412	116
954	2414	113
955	2417	111
956	2419	108
957	2421	106
958	2423	103
959	2425	101
960	2427	98
961	2429	95
962	2431	93
963	2433	90
964	2435	88
965	2437	85
966	2439	83
967	2441	80
968	2443	78
969	2446	75
970	2448	73
971	2450	70
972	2452	68
973	2454	65
974	2456	62
975	2460	60
976	2462	57
977	2464	55
978	2466	52
979	2468	50
980	2470	47
981	2472	45
982	2475	42
983	2477	40
984	2479	37
985	2482	35
986	2484	32
987	2485	30
988	2488	27
989	2491	25
990	2492	22
991	2494	20
992	2497	17
993	2500	15
994	2502	12
995	2505	10
996	2507	7
997	2509	5
998	2511	2
999	2513	0
